label,cell_type,mean_attention,sem,count
Primary visual area,RSP/ACA ML,0.034327325792,0.00119010572937,494
Laterointermediate area,L4/5 IT,0.0343247415342,0.000265248318131,12045
Temporal association areas,L6b,0.0343237729869,0.000347895309787,4841
"Retrosplenial area, ventral part",Car3,0.0342657493823,0.0010542183467,33
Posterolateral visual area,ENT ML,0.0342540739577,0.000325228368033,2144
Ventral auditory area,L6b/CT,0.0342116675132,0.000280677644667,4285
Primary visual area,EPd,0.0341948712711,0.00116600805469,611
Primary auditory area,Unclear,0.0341376007193,0.00135553652379,101
Perirhinal area,PIR UL,0.0340874117076,0.000967396735597,466
Anterolateral visual area,L2/3 IT,0.0340773826507,0.000173607783304,30923
Primary visual area,PIR UL,0.034025012867,0.000631658748996,1799
posteromedial visual area,HIP SUB,0.0340134501457,0.00482004006882,12
Anterolateral visual area,L6b,0.0339991290146,0.00071098481666,1884
"Retrosplenial area, ventral part",NP PPP/RSP,0.0339711498103,0.000289837323752,3904
"Retrosplenial area, ventral part",HIP SUB,0.0339339175655,0.00092387078168,343
Ectorhinal area,L4/5 IT,0.0339305841131,0.000595503081041,2560
Posterolateral visual area,ENT UL,0.0339238638178,0.000419800549389,654
Postrhinal area,HIP CA1,0.0338996165508,0.00234037798889,74
"Retrosplenial area, ventral part",ENT L6b,0.0338633618456,0.00126128525394,94
Primary visual area,HIP SUB,0.033815279603,0.00453698200594,16
posteromedial visual area,L6 IT,0.033655416693,0.000345167500294,8663
posteromedial visual area,PPP,0.0336404527937,0.00893004935941,21
Postrhinal area,Car3,0.0336101929176,0.000453091779624,2558
Ventral auditory area,ENT ML,0.033560021853,0.00123270447006,295
Primary auditory area,ENT ML,0.0334105822135,0.000759177881843,569
Postrhinal area,L6 CT,0.033378467501,0.000224695208159,8654
"Retrosplenial area, lateral agranular part",TR,0.0333572958337,0.00243660968773,122
Ventral auditory area,ENT L6b,0.0333481522239,0.000846369852339,392
Primary visual area,L4/5 IT,0.0332943186503,5.52469587497e-05,219748
Temporal association areas,L6b/CT,0.0332796909703,0.000260270916536,8183
Temporal association areas,L6 CT,0.0332160225179,0.000440585670944,2925
Secondary motor area,L5 IT,0.0331837030557,0.00551892983952,13
"Retrosplenial area, lateral agranular part",RSP/ACA UL,0.0331250163635,0.000148169980285,31329
Primary auditory area,ENT L6b,0.0330542829302,0.00194843089784,45
Anteromedial visual area,L5 IT,0.0330104083107,0.000529889514181,1575
Temporal association areas,DGpo,0.0330052673817,0.000577388163991,16
"Primary somatosensory area, barrel field",RSP/ACA UL,0.0329655011495,0.0124710400899,3
"Retrosplenial area, ventral part",PPP,0.032953710706,0.000388950067115,1399
Primary visual area,BLA/BMA/PA,0.0328998139926,0.00370384758963,84
"Anterior cingulate area, ventral part",ENT L6b,0.0328957239787,0.00149234135946,3
Ectorhinal area,NP PPP/RSP,0.0328008747101,0.00374124740821,25
"Primary somatosensory area, barrel field",L2/3 IT,0.0327358540135,0.000337179740154,6418
Dorsal auditory area,EPd,0.0327249702654,0.00791974348093,19
Posterolateral visual area,Car3,0.0327241966034,0.00066962945068,822
"Retrosplenial area, dorsal part",PPP,0.0327201499064,0.000348007246542,2441
posteromedial visual area,L6b,0.0326658822571,0.000677560191775,1505
"Anterior cingulate area, ventral part",L6 IT,0.0326540470123,0.00321242098416,11
Posterior auditory area,L6b,0.0326528486002,0.000931855042034,922
"Retrosplenial area, lateral agranular part",BLA/BMA/PA,0.0326227538193,0.00236165664388,79
"Retrosplenial area, ventral part",L5 ET,0.0325638796375,0.000172789564632,11065
Dorsal auditory area,L2/3 IT,0.032555075482,0.000186749870507,24942
"Agranular insular area, posterior part",L6 CT,0.0325483798981,0.00136088196705,10
"Primary somatosensory area, unassigned",L4/5 IT,0.0325450897217,0.00142754111383,28
"Primary somatosensory area, upper limb",L4/5 IT,0.0325204555331,0.00521931919751,29
Lateral visual area,L4/5 IT,0.0324838168316,0.000144772864229,43424
Ectorhinal area,L2/3 IT,0.0324763143362,0.000126106544821,26827
Temporal association areas,ENT ML,0.0324512648417,0.000555223868467,1006
"Retrosplenial area, dorsal part",NP PPP/RSP,0.0323308896441,0.000280530464029,4708
"Retrosplenial area, ventral part",RSP/ACA UL,0.0322915380826,8.66761264441e-05,32025
Ectorhinal area,ENT UL,0.0322627005965,0.00081406736252,209
"Anterior cingulate area, ventral part",PIR UL,0.0322365760803,0.0,1
Posterior auditory area,ENT ML,0.0322349707959,0.00159641242746,118
Postrhinal area,L4/5 IT,0.0322297721534,0.000135768965463,21222
Primary visual area,L2/3 IT,0.0321960524732,5.44282354625e-05,201536
Ventral auditory area,L6 CT,0.0321190187685,0.000213310758914,7686
Ventral auditory area,L6b,0.0321070541584,0.000327876183823,3143
"Primary somatosensory area, upper limb",L5 ET,0.0320773124695,0.0,1
Temporal association areas,PIR UL,0.0319756318567,0.00132320140222,267
"Retrosplenial area, dorsal part",RSP/ACA ML,0.0319554769157,0.000140916789491,19364
Lateral visual area,L2/3 IT,0.031950065959,0.000115084069015,62009
Postrhinal area,ENT UL,0.0319220353906,0.000263804891969,2229
"Retrosplenial area, dorsal part",Low quality,0.0318721320772,0.00019924659982,12039
Ectorhinal area,L6 IT,0.0318048373682,0.00044136648218,1824
Posterolateral visual area,L4/5 IT,0.0317248229795,0.000145580522323,15126
Ventral auditory area,LA,0.0317226573825,0.0011167610149,160
Lateral visual area,PIR UL,0.0316923857572,0.00136394803049,356
Posterolateral visual area,RSP/ACA ML,0.031687835634,0.000966933871004,273
Lateral visual area,NP PPP/RSP,0.0316826809536,0.00182302720349,176
"Retrosplenial area, ventral part",L6b,0.0316746047739,0.000961170197002,293
Anteromedial visual area,NA,0.0316235837995,0.000976520454929,2486
"Retrosplenial area, ventral part",HIP CA3,0.0315853151782,0.00128114060335,58
Ventral auditory area,L4/5 IT,0.0315128832997,0.000103508050904,27835
"Retrosplenial area, lateral agranular part",PIR UL,0.0314800539217,0.001037159427,286
Lateral visual area,BLA/BMA/PA,0.0314694370542,0.0039048001488,35
"Agranular insular area, posterior part",COA,0.0314512252808,0.0,1
Posterior auditory area,AON,0.0313831056867,0.00136168019038,14
Anteromedial visual area,L6b,0.0313818052094,0.00191562921206,188
Lateral visual area,L6 CT,0.0312513147679,0.000146069341169,30067
posteromedial visual area,NA,0.0311354323419,0.000348026099301,17271
"Retrosplenial area, ventral part",Low quality,0.0311054079256,0.000172997241428,10838
"Primary somatosensory area, upper limb",L2/3 IT,0.0310678705573,0.0030529631228,48
Temporal association areas,TR,0.031042043569,0.00135495432903,257
Laterointermediate area,L2/3 IT,0.0309863839902,0.000224256231243,13150
Ectorhinal area,PIR UL,0.0309345491696,0.00112639397195,256
Ventral auditory area,PIR UL,0.0308536919788,0.00156610783599,201
