label,cell_type,mean_loss_increase,sem,n_groups,mean_n_dropped,error_rate_increase
"Retrosplenial area, dorsal part",L5 ET,0.125689373819,0.0409607565419,325,3.49846153846,0.0430769230769
"Primary somatosensory area, upper limb",NP,0.125125250722,0.0401584661998,131,1.37404580153,0.030534351145
Dorsal auditory area,PIR UL,0.12393858796,0.081724410174,8,1.0,0.0
Visceral area,L6b/CT,0.122224522289,0.0694880844146,50,2.9,-0.02
"Primary somatosensory area, lower limb",Unclear,0.118718408048,0.0430617654169,4,1.0,0.0
"Primary somatosensory area, barrel field",Low quality,0.117432516868,0.0834149369863,58,3.03448275862,-0.0344827586207
"Retrosplenial area, ventral part",ENT L6b,0.116817848937,0.044175863845,11,1.0,0.0
Perirhinal area,NP,0.11653470993,0.0,1,1.0,0.0
"Anterior cingulate area, dorsal part",HIP CA1,0.11587536335,0.0,1,1.0,1.0
"Anterior cingulate area, dorsal part",NP PPP/RSP,0.115767835329,0.0686146987316,12,1.16666666667,0.0
"Retrosplenial area, lateral agranular part",L6 IT,0.115693632811,0.0752327669907,229,3.65502183406,0.0174672489083
Gustatory areas,Low quality,0.113881562846,0.0861286068467,47,2.76595744681,-0.0212765957447
Anterolateral visual area,NA,0.113264509735,0.0765099350725,103,5.96116504854,0.0194174757282
Supplemental somatosensory area,NP PPP/RSP,0.113227692153,0.123322575276,10,1.0,0.0
Visceral area,HIP SUB,0.112005472183,0.0,1,1.0,0.0
"Primary somatosensory area, nose",AON,0.110141709447,0.199109535468,8,1.0,0.125
"Primary somatosensory area, mouth",COA,0.109989643097,0.0428929328918,2,1.0,0.0
Secondary motor area,L5 ET,0.109484667516,0.0476947519899,262,3.04198473282,0.0267175572519
Supplemental somatosensory area,L6b,0.108156795017,0.0252118073617,333,2.4954954955,0.0
"Anterior cingulate area, ventral part",EPd,0.107741100446,0.0687328774934,24,1.58333333333,0.0
"Primary somatosensory area, lower limb",NA,0.106998727304,0.0387460335841,292,5.72602739726,0.0342465753425
"Agranular insular area, dorsal part",L6 CT,0.106895848863,0.0634083714411,66,4.16666666667,0.0
Anterior area,L6 CT,0.105581304559,0.195501204453,86,9.0,0.0
Primary visual area,L6b/CT,0.105419231561,0.0603567180172,27,1.0,0.0
Ectorhinal area,PIR UL,0.105222138731,0.115855124318,6,1.0,0.0
Postrhinal area,ENT L6b,0.104761572246,0.125196290647,23,4.52173913043,0.0434782608696
Laterointermediate area,RSP/ACA UL,0.103439331055,0.0,1,1.0,1.0
Primary motor area,ENT ML,0.101756212767,0.066083375765,13,1.0,0.0769230769231
Ectorhinal area,PPP,0.101469993591,0.00378799438477,2,1.0,0.0
Lateral visual area,PG,0.101174354553,0.0,1,1.0,0.0
"Retrosplenial area, dorsal part",ENT DL,0.100602090933,0.0811027045797,43,2.3488372093,0.0
"Retrosplenial area, ventral part",NP,0.0996407021153,0.0194311349578,300,3.27333333333,0.01
"Primary somatosensory area, mouth",RSP/ACA UL,0.0989216268063,0.029884071267,4,1.0,0.0
"Retrosplenial area, lateral agranular part",RSP/ACA ML,0.0988046115951,0.0775006078856,103,3.45631067961,0.00970873786408
Secondary motor area,ENT ML,0.0985676453666,0.0478585494503,29,1.10344827586,0.0344827586207
Anteromedial visual area,NA,0.0984501340885,0.105453099779,122,5.9262295082,0.016393442623
